common_spurious_axes,judge_persona_echo_rate,judge_refusal_or_ai_break_rate,mean_abs_word_delta_frac,mean_axis_delta,mean_axis_delta_judge_mean,mean_axis_delta_judge_std,mean_axis_judge_abs_disagreement,mean_max_off_axis_category_likert,mean_max_style_abs_delta,mean_neg_repeated_token_frac,mean_negative_delta,mean_off_axis_chattiness,mean_off_axis_coding_style,mean_off_axis_confidence,mean_off_axis_enthusiasm,mean_off_axis_formality,mean_off_axis_harmlessness_refusal,mean_off_axis_hedging,mean_off_axis_helpfulness,mean_off_axis_honesty_truthfulness,mean_off_axis_incoherence,mean_off_axis_language_shift,mean_off_axis_length,mean_off_axis_multilinguality,mean_off_axis_persona_echo,mean_off_axis_praise_flattery,mean_off_axis_problem,mean_off_axis_refusal,mean_off_axis_sycophancy,mean_off_axis_task_context_shift,mean_off_axis_thoughtfulness_reasoning,mean_off_axis_vagueness,mean_off_axis_warmth,mean_pairwise_negative_delta,mean_pairwise_positive_delta,mean_pos_repeated_token_frac,mean_positive_delta,mean_response_token_jaccard,mean_style_delta_chattiness_pos_minus_neg,mean_style_delta_coding_style_pos_minus_neg,mean_style_delta_confidence_pos_minus_neg,mean_style_delta_directness_pos_minus_neg,mean_style_delta_enthusiasm_pos_minus_neg,mean_style_delta_formality_pos_minus_neg,mean_style_delta_harmlessness_refusal_pos_minus_neg,mean_style_delta_hedging_pos_minus_neg,mean_style_delta_helpfulness_pos_minus_neg,mean_style_delta_honesty_truthfulness_pos_minus_neg,mean_style_delta_incoherence_pos_minus_neg,mean_style_delta_language_shift_pos_minus_neg,mean_style_delta_multilinguality_pos_minus_neg,mean_style_delta_praise_pos_minus_neg,mean_style_delta_sycophancy_pos_minus_neg,mean_style_delta_task_context_shift_pos_minus_neg,mean_style_delta_thoughtfulness_reasoning_pos_minus_neg,mean_style_delta_vagueness_pos_minus_neg,mean_style_delta_verbosity_pos_minus_neg,mean_style_delta_warmth_pos_minus_neg,n,n_strict_pass,persona_echo_rate,persona_pair,recommended,refusal_or_ai_break_rate,strict_pass_persona_pairs,strict_pass_rate,template,usable_rate
"[""none""]",0.0,0.0,0.0342,7.825,7.825,0.075,0.075,1.35,0.0,0.059,1.9375,1.0,1.0,1.05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.2,1.0,1.0,1.0,1.35,1.0,1.0,1.0,1.3,1.0,1.0,1.9375,1.975,0.0652,1.975,0.1582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,0.0,principled_expedient_engineered,False,0.0,"[""principled_expedient_engineered""]",1.0,__verbatim_skill_persona__,1.0
"[""hedging and confidence"", ""moral alignment or ethical stance""]",0.0,0.0,0.1511,4.375,4.375,1.475,1.475,3.85,2.9,0.0449,1.025,1.0,1.0,3.15,1.0,1.35,1.0,3.7,1.5,1.2,1.0,1.0,2.1,1.0,1.0,1.0,3.85,1.0,1.0,1.0,3.65,1.55,1.3,1.025,1.1625,0.0839,1.1625,0.1683,0.75,0.0,-2.05,-1.75,0.5,-0.8,0.0,2.8,1.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.5,1.35,1.5,2,0,0.0,forthright_strategic_disclosure_engineered,False,0.0,[],0.0,__verbatim_skill_persona__,1.0
