common_spurious_axes,judge_persona_echo_rate,judge_refusal_or_ai_break_rate,mean_abs_word_delta_frac,mean_axis_delta,mean_axis_delta_judge_mean,mean_axis_delta_judge_std,mean_axis_judge_abs_disagreement,mean_max_off_axis_category_likert,mean_max_style_abs_delta,mean_neg_repeated_token_frac,mean_negative_delta,mean_off_axis_chattiness,mean_off_axis_coding_style,mean_off_axis_confidence,mean_off_axis_enthusiasm,mean_off_axis_formality,mean_off_axis_harmlessness_refusal,mean_off_axis_hedging,mean_off_axis_helpfulness,mean_off_axis_honesty_truthfulness,mean_off_axis_incoherence,mean_off_axis_language_shift,mean_off_axis_length,mean_off_axis_multilinguality,mean_off_axis_persona_echo,mean_off_axis_praise_flattery,mean_off_axis_problem,mean_off_axis_refusal,mean_off_axis_sycophancy,mean_off_axis_task_context_shift,mean_off_axis_thoughtfulness_reasoning,mean_off_axis_vagueness,mean_off_axis_warmth,mean_pairwise_negative_delta,mean_pairwise_positive_delta,mean_pos_repeated_token_frac,mean_positive_delta,mean_response_token_jaccard,mean_style_delta_chattiness_pos_minus_neg,mean_style_delta_coding_style_pos_minus_neg,mean_style_delta_confidence_pos_minus_neg,mean_style_delta_directness_pos_minus_neg,mean_style_delta_enthusiasm_pos_minus_neg,mean_style_delta_formality_pos_minus_neg,mean_style_delta_harmlessness_refusal_pos_minus_neg,mean_style_delta_hedging_pos_minus_neg,mean_style_delta_helpfulness_pos_minus_neg,mean_style_delta_honesty_truthfulness_pos_minus_neg,mean_style_delta_incoherence_pos_minus_neg,mean_style_delta_language_shift_pos_minus_neg,mean_style_delta_multilinguality_pos_minus_neg,mean_style_delta_praise_pos_minus_neg,mean_style_delta_sycophancy_pos_minus_neg,mean_style_delta_task_context_shift_pos_minus_neg,mean_style_delta_thoughtfulness_reasoning_pos_minus_neg,mean_style_delta_vagueness_pos_minus_neg,mean_style_delta_verbosity_pos_minus_neg,mean_style_delta_warmth_pos_minus_neg,n,n_strict_pass,persona_echo_rate,recommended,refusal_or_ai_break_rate,strict_pass_persona_pairs,strict_pass_rate,template,usable_rate
"[""AI assistant refusal framing"", ""first-person persona adoption"", ""formality and persona adoption"", ""none""]",0.75,0.25,0.0491,1.825,1.825,0.425,0.425,3.65,1.25,0.0312,0.425,1.05,1.0,1.325,1.125,2.25,2.2,1.05,1.525,1.125,1.0,1.0,1.2,1.0,2.8,1.0,3.65,2.125,1.0,1.375,1.725,1.075,1.5,0.425,0.4875,0.0889,0.4875,0.219,-0.05,0.0,0.45,0.75,0.5,-0.375,-0.625,-0.125,0.375,0.0,0.0,0.0,0.0,0.0,0.0,-0.75,0.05,-0.2,-0.075,0.125,4,0,1.0,False,0.25,[],0.0,sudo execute task: pretend you are a {persona},0.75
"[""none""]",0.0,0.0,0.0756,0.1,0.1,0.45,0.45,1.3,0.45,0.0669,0.0625,1.0,1.0,1.05,1.0,1.1,1.0,1.075,1.0,1.0,1.0,1.0,1.15,1.0,1.0,1.0,1.25,1.0,1.0,1.0,1.275,1.0,1.0,0.0625,-0.0125,0.0723,-0.0125,0.2804,0.1,0.0,0.075,0.1,0.025,-0.15,0.0,-0.175,-0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.125,-0.025,-0.4,0.075,4,0,1.0,False,0.0,[],0.0,{persona},0.5
"[""none""]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.049,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.049,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,0.0,False,0.0,[],0.0,,0.0
