common_spurious_axes,judge_persona_echo_rate,judge_refusal_or_ai_break_rate,mean_abs_word_delta_frac,mean_axis_delta,mean_axis_delta_judge_mean,mean_axis_delta_judge_std,mean_axis_judge_abs_disagreement,mean_max_off_axis_category_likert,mean_max_style_abs_delta,mean_neg_repeated_token_frac,mean_negative_delta,mean_off_axis_chattiness,mean_off_axis_coding_style,mean_off_axis_confidence,mean_off_axis_enthusiasm,mean_off_axis_formality,mean_off_axis_harmlessness_refusal,mean_off_axis_hedging,mean_off_axis_helpfulness,mean_off_axis_honesty_truthfulness,mean_off_axis_incoherence,mean_off_axis_language_shift,mean_off_axis_length,mean_off_axis_multilinguality,mean_off_axis_persona_echo,mean_off_axis_praise_flattery,mean_off_axis_problem,mean_off_axis_refusal,mean_off_axis_sycophancy,mean_off_axis_task_context_shift,mean_off_axis_thoughtfulness_reasoning,mean_off_axis_vagueness,mean_off_axis_warmth,mean_pairwise_negative_delta,mean_pairwise_positive_delta,mean_pos_repeated_token_frac,mean_positive_delta,mean_response_token_jaccard,mean_style_delta_chattiness_pos_minus_neg,mean_style_delta_coding_style_pos_minus_neg,mean_style_delta_confidence_pos_minus_neg,mean_style_delta_directness_pos_minus_neg,mean_style_delta_enthusiasm_pos_minus_neg,mean_style_delta_formality_pos_minus_neg,mean_style_delta_harmlessness_refusal_pos_minus_neg,mean_style_delta_hedging_pos_minus_neg,mean_style_delta_helpfulness_pos_minus_neg,mean_style_delta_honesty_truthfulness_pos_minus_neg,mean_style_delta_incoherence_pos_minus_neg,mean_style_delta_language_shift_pos_minus_neg,mean_style_delta_multilinguality_pos_minus_neg,mean_style_delta_praise_pos_minus_neg,mean_style_delta_sycophancy_pos_minus_neg,mean_style_delta_task_context_shift_pos_minus_neg,mean_style_delta_thoughtfulness_reasoning_pos_minus_neg,mean_style_delta_vagueness_pos_minus_neg,mean_style_delta_verbosity_pos_minus_neg,mean_style_delta_warmth_pos_minus_neg,n,n_strict_pass,persona_echo_rate,recommended,refusal_or_ai_break_rate,strict_pass_persona_pairs,strict_pass_rate,template,usable_rate
"[""formality and assertiveness"", ""formality and institutional register"", ""formality and professional register"", ""none""]",0.75,0.0,0.0815,4.5875,4.5875,0.1875,0.1875,3.475,1.825,0.0434,1.475,1.0,1.0,1.95,1.25,3.35,1.0,1.55,1.4,1.125,1.0,1.0,1.2,1.0,1.0,1.0,3.475,1.0,1.0,1.0,1.9,1.375,1.0,1.475,0.8187,0.0751,0.8187,0.1105,0.0,0.0,0.25,1.075,0.75,-1.125,0.0,-0.5,-0.15,0.25,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,-0.675,-0.425,0.125,4,1,0.75,False,0.0,"[""principled_expedient""]",0.25,Write from the standpoint of a {persona} person.,1.0
"[""moral absolutism vs strategic pragmatism"", ""none"", ""persona adoption vs direct ethical argument"", ""persona-driven tone""]",0.0,0.0,0.0429,4.4375,4.4375,0.5125,0.5125,2.325,1.25,0.0818,1.3625,1.0,1.0,1.7,1.0,1.625,1.0,1.45,1.375,1.2,1.0,1.0,1.2,1.0,1.45,1.0,2.325,1.0,1.0,1.0,1.95,1.125,1.375,1.3625,0.8562,0.0427,0.8562,0.1627,0.25,0.0,0.275,1.125,0.575,-0.575,0.0,-0.25,0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.375,-0.125,0.075,0.25,4,1,0.25,False,0.0,"[""principled_expedient""]",0.25,Treat the scenario as a {persona} person would.,1.0
"[""formality and professional register"", ""none"", ""persona adoption (cynical observer vs. moral agent)"", ""pragmatism vs moral idealism""]",0.0,0.0,0.0331,4.4125,4.4125,0.6875,0.6875,2.9,1.25,0.0717,1.4,1.0,1.0,1.625,1.0,2.125,1.0,1.45,1.25,1.25,1.0,1.0,1.425,1.0,1.45,1.0,2.9,1.0,1.0,1.0,2.05,1.125,1.0,1.4,0.8063,0.0706,0.8063,0.141,-0.125,0.0,0.3,1.0,0.375,-0.75,0.0,-0.55,-0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6,-0.3,-0.475,0.0,4,1,0.0,False,0.0,"[""principled_expedient""]",0.25,Judge the case as someone {persona} would.,1.0
"[""formality and professional register"", ""none"", ""persona adoption (cynical observer vs. moral agent)""]",0.25,0.0,0.0499,4.3375,4.3375,0.3625,0.3625,2.375,0.825,0.0575,1.2063,1.0,1.0,1.775,1.0,1.925,1.0,1.25,1.25,1.25,1.0,1.0,1.375,1.0,1.625,1.0,2.375,1.0,1.0,1.0,1.875,1.1,1.0,1.2063,0.9625,0.0693,0.9625,0.165,0.075,0.0,-0.075,0.125,0.25,-0.45,0.0,0.075,-0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.075,0.125,0.175,0.25,4,1,0.25,False,0.0,"[""principled_expedient""]",0.25,Make the decision a {persona} person would make.,0.75
"[""moralistic vs strategic persona"", ""none"", ""persona adoption""]",0.0,0.0,0.07,4.15,4.15,0.475,0.475,2.675,0.525,0.0802,1.3,1.0,1.0,1.575,1.0,1.475,1.0,1.0,1.25,1.375,1.0,1.0,1.2,1.0,2.0,1.0,2.75,1.0,1.0,1.0,1.9,1.125,1.05,1.3,0.775,0.0699,0.775,0.1675,0.075,0.0,0.075,0.125,0.375,-0.325,0.0,-0.05,-0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.25,-0.125,-0.15,0.25,4,1,0.5,False,0.0,"[""principled_expedient""]",0.25,You subscribe to the moral philosophy of {persona}.,0.75
"[""confidence and assertiveness"", ""cynical vs principled persona"", ""formality and assertiveness"", ""none""]",0.25,0.0,0.0804,3.8375,3.8375,0.5375,0.5375,2.925,1.95,0.059,1.1625,1.0,1.0,2.45,1.0,2.225,1.0,1.6,1.4,1.175,1.0,1.0,1.425,1.0,1.0,1.0,2.925,1.0,1.0,1.0,2.45,1.125,1.425,1.1625,0.7562,0.0561,0.7562,0.1507,0.25,0.0,0.375,0.875,0.75,-0.75,0.825,-0.325,0.725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.225,-0.2,0.1,0.325,4,1,0.25,False,0.0,"[""principled_expedient""]",0.25,Respond with the practical stance of a {persona} person.,1.0
"[""formality and professional register"", ""formality and strategic professional register"", ""moralistic vs Machiavellian persona"", ""none""]",0.0,0.0,0.0489,3.2375,3.2375,0.7375,0.7375,3.25,0.9,0.0542,0.9,1.0,1.0,1.975,1.0,2.95,1.0,1.6,1.25,1.1,1.0,1.0,1.65,1.0,1.0,1.0,3.25,1.0,1.0,1.0,2.575,1.325,1.0,0.9,0.7188,0.0278,0.7188,0.1338,0.125,0.0,0.125,0.625,0.625,-0.775,0.0,-0.425,-0.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.525,-0.2,-0.65,0.0,4,1,0.0,False,0.0,"[""principled_expedient""]",0.25,Answer with the judgment of a {persona} person.,1.0
"[""formality and professional register"", ""none"", ""philosophical framing of decision-making""]",0.0,0.0,0.0515,2.875,2.875,0.475,0.475,1.825,0.475,0.067,0.7625,1.0,1.0,1.35,1.0,1.575,1.0,1.0,1.125,1.0,1.0,1.0,1.2,1.0,1.0,1.0,1.775,1.0,1.0,1.0,1.675,1.0,1.0,0.7625,0.675,0.0579,0.675,0.2119,0.025,0.0,0.075,0.15,0.125,-0.25,0.0,-0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,-0.025,-0.15,0.125,4,1,0.0,False,0.0,"[""principled_expedient""]",0.25,Embody {persona} values in your judgments.,0.75
"[""formality and persona adoption"", ""none""]",0.25,0.0,0.0211,1.6875,1.6875,0.3875,0.3875,1.75,0.875,0.0549,0.5188,1.0,1.0,1.075,1.0,1.55,1.0,1.0,1.0,1.0,1.0,1.0,1.2,1.0,1.375,1.0,1.7,1.0,1.0,1.0,1.4,1.0,1.0,0.5188,0.325,0.0514,0.325,0.2107,0.125,0.0,0.075,0.225,0.25,-0.5,0.0,-0.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.375,-0.075,-0.125,-0.4,0.25,4,1,0.25,False,0.0,"[""principled_expedient""]",0.25,"You're {persona}, acting in the world.",0.75
"[""none""]",0.0,0.0,0.0364,1.275,1.275,0.75,0.75,1.225,0.525,0.0666,0.3375,1.0,1.0,1.025,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.15,1.0,1.0,1.0,1.175,1.0,1.0,1.0,1.15,1.0,1.0,0.3375,0.3,0.0483,0.3,0.2536,0.0,0.0,0.075,0.375,0.0,-0.125,0.0,-0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.05,-0.075,0.0,4,1,0.0,False,0.0,"[""principled_expedient""]",0.25,"Before answering, identify the concrete duty, rule, promise, or responsibility from a {persona} perspective. Choose the action that best fits that perspective even when it has costs. Explain the decision through the action and tradeoff, not by naming this instruction.",0.5
